document_id,document_url,sale_date,file_date,pages,scraped_address
FRCL-2025-3522,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL8XRNl/2uzL5yvuBGrP+afz87RxCBmiZseU/Wo4uVyUJUX0mUgEp62vUnAzYzFWSnZwCl7UlF+IdNwb54Vpi/Lf,2025-08-05,2025-05-08,1,"LOT 15, IN BLOCK 3 TEXAS, ACCORDING TO THE MAP OR PLAT THEREOF TEXAS."
FRCL-2025-3494,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NSctYTuovCoLAnxWiQc4kOA+ouaGlhLZjzS9TYEN6DBa93Ts4fc4/9kr1YXPxOoEh1JEdL6i69guy2VoyBRj6xzu0dCHQRRQVp7crd1a4WMN,2025-06-03,2025-05-08,3,"LOT 7, IN BLOCK 1, OF WEST COUNTY, TEXAS, ACCORDING TO THE MAP O) NO."
FRCL-2025-3496,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NSctYTuovCoLAnxWiQc4kOAyGE5M67Lg837GDKX6Ds1Paf6zPSyuNXAa8H39C3vASoiDzbtbC1SCrGYV3S03t5Nzktr0tli1v89yWPLeMGLs,2025-06-03,2025-05-08,3,"LOT 46, BLOCK 2, BRECKENRIDGE FOREST SEC.
 MAP OR PLAT THEREOF RECORDED IN FILM COD INSTRUMENT TO BE FORECLOSED — THE INSTRUME RECORDED IN THE OFFICE OF THE COUNTY CLERK OF I RECORDED ON 10/2."
FRCL-2025-3497,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NSctYTuovCoLAnxWiQc4kOC0EjLJe7JV6czqYmUUNgxwpvK1D2/nBjR9SEyPN36mbPn4JBrMn8j6LgpXhYopFlIQ+HGjaFsRxfbQFofl91hm,2025-07-01,2025-05-08,3,"LOT 13, IN BLOCK 6, T COUNTY, TEXAS, ACCORDING TO THE I 540246, OF THE MAP RECORDS OF HARE TENESHIA HUDSPETH, COUNTY CLERK, HARRIS COUNTY, TEXAS."
FRCL-2025-3498,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NSctYTuovCoLAnxWiQc4kOCtX5mNJoH+r7IRr5+1ProP2eBnGobFdtNYnInCUGpbu+Wzqymvk4+upWpA6yg5NSs1RXYp+ZoHqOSljhId3Gzl,2025-07-01,2025-05-08,3,"LOT 930, BLOCK 27."
FRCL-2025-3536,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+Ab3g9xxnvb4bhXRroqQksCqzCCI0wRC4B79xFRPlxk+wKUEUYaHOI8aSWm/1OcYFwJTgkxfX9ng1MPKnM3W2nW,2025-08-05,2025-05-08,2,"LOT 13, IN BLOCK 5, OF OF HOUSTON IN HARRIS COUNTY, TEXAS, PAGE 29, OF THE MAP RECORDS OF 21, IN BLOCK 5, OF AYRS: HOUSTON IN HARRIS COUNTY, TEXAS, ACC 57, OF."
FRCL-2025-3537,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+CM7GaE8YalD5ZyH1mhyVJGNddZEqsoXUCJs0nznvKbl9SfGGqUNMjxbwv7HEZ5tsvzGRjn8Cy/2UANd1QMFw1G,2025-07-01,2025-05-08,2,"9401 Knight Rd, Houston, TX 77045"
FRCL-2025-3538,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+BSlf8maMnD0ewEq+QW1nVjxj4Y8nyYCiSt9E2Ou44qJ76FBJNRo1DLmv+9hwMIXpy58MA7blZoqM10gkPv2r6K,2025-07-01,2025-05-08,2,"5208 BEECH STREET, BELLAIRE, TX 77401"
FRCL-2025-3539,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+Df2yg+cY1FT7L0sSE7THf4fdsdR8u2BuajKiBJl2e54FsuFw8OI2nDa3U+JJHmB5caROB+P6THiBhtBZES0zh9,2025-07-01,2025-05-08,2,"LOT 10, IN BLOCK 5, © 3217S."
FRCL-2025-3540,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+ARs+YW8JyQlhjuU/6eh9f5g4EDWAPFfK31JO9y7rnUmtXCmXVmj0+W8YyuDoTsPbvI8tTboAqCOuUR556jMeBN,2025-07-01,2025-05-08,2,"4507 AZTEC ST, PASADENA, TX 77504"
